,94,131,171,193,304,211,335,6173
2010-08-19,2010-08-19T00:00:02.12Z,2010-08-19T00:00:09.62Z,2010-08-19T00:00:12.34Z,2010-08-19T00:00:07.84Z,2010-08-19T00:00:08.14Z,2010-08-19T00:00:00.62Z,2010-08-19T00:00:03.62Z,2010-08-18T23:58:24.50Z
2010-08-20,2010-08-20T00:00:02.12Z,2010-08-20T00:00:09.62Z,2010-08-20T00:00:12.34Z,2010-08-20T00:00:07.84Z,2010-08-20T00:00:08.13Z,2010-08-20T00:00:00.62Z,2010-08-20T00:00:03.62Z,2010-08-19T23:58:24.40Z
2010-08-21,2010-08-21T00:00:02.12Z,2010-08-21T00:00:09.62Z,2010-08-21T00:00:12.34Z,2010-08-21T00:00:07.84Z,2010-08-21T00:00:08.12Z,2010-08-21T00:00:00.62Z,2010-08-21T00:00:03.62Z,2010-08-20T23:58:24.30Z
2010-08-22,2010-08-22T00:00:02.12Z,2010-08-22T00:00:09.62Z,2010-08-22T00:00:12.34Z,2010-08-22T00:00:07.84Z,2010-08-22T00:00:08.12Z,2010-08-22T00:00:00.62Z,2010-08-22T00:00:03.62Z,2010-08-21T23:58:24.20Z
2010-08-23,2010-08-23T00:00:02.12Z,2010-08-23T00:00:09.62Z,2010-08-23T00:00:12.34Z,2010-08-23T00:00:07.84Z,2010-08-23T00:00:08.12Z,2010-08-23T00:00:00.62Z,2010-08-23T00:00:03.62Z,2010-08-22T23:58:24.10Z
2010-09-02,2010-09-02T00:00:02.12Z,2010-09-02T00:00:09.62Z,2010-09-02T00:00:12.34Z,2010-09-02T00:00:06.63Z,2010-09-02T00:00:08.12Z,2010-09-02T00:00:00.62Z,2010-09-02T00:00:03.63Z,2010-09-01T23:58:23.00Z
2010-09-03,2010-09-03T00:00:02.12Z,2010-09-03T00:00:09.63Z,2010-09-03T00:00:12.34Z,2010-09-03T00:00:06.63Z,2010-09-03T00:00:08.12Z,2010-09-03T00:00:00.62Z,2010-09-03T00:00:03.62Z,2010-09-02T23:58:22.90Z
2010-09-04,2010-09-04T00:00:02.12Z,2010-09-04T00:00:09.63Z,2010-09-04T00:00:12.34Z,2010-09-04T00:00:06.63Z,2010-09-04T00:00:08.12Z,2010-09-04T00:00:00.62Z,2010-09-04T00:00:03.62Z,2010-09-03T23:58:22.70Z
2010-09-05,2010-09-05T00:00:02.12Z,2010-09-05T00:00:09.63Z,2010-09-05T00:00:12.34Z,2010-09-05T00:00:06.63Z,2010-09-05T00:00:08.14Z,2010-09-05T00:00:00.62Z,2010-09-05T00:00:03.63Z,2010-09-04T23:58:22.60Z
2010-09-06,2010-09-06T00:00:02.12Z,2010-09-06T00:00:09.62Z,2010-09-06T00:00:12.34Z,2010-09-06T00:00:06.62Z,2010-09-06T00:00:08.13Z,2010-09-06T00:00:00.63Z,2010-09-06T00:00:03.62Z,2010-09-05T23:58:22.50Z
